Country Name,"Country Code","Series Name","Series Code","1990 [YR1990]","2000 [YR2000]","2010 [YR2010]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2030 [YR2030]","2040 [YR2040]","2050 [YR2050]"
United States,"USA","Annual CO2 combustion emissions at operating coal mines (Mt CO2)","CC.COAL.EMIS.CO","..","..","..","..","..","..","..","..","..","836","..","..","..",".."
United States,"USA","Annual CO2 combustion emissions at proposed coal projects (Mt CO2)","CC.COAL.EMPR.CO","..","..","..","..","..","..","..","..","..","78","..","..","..",".."
United States,"USA","Annual methane emissions at operating coal mines (Mt CO2e 100 years)","CC.COAL.EMIS.CH","..","..","..","..","..","..","..","..","..","49","..","..","..",".."
United States,"USA","CO2 emissions by sector (Mt CO2 eq) - Building","CC.CO2.EMSE.BL","545.48","599.13","545.06","512.54","496.47","497.9","550.68","..","..","..","..","..","..",".."
United States,"USA","CO2 emissions by sector (Mt CO2 eq) - Bunker Fuels","CC.CO2.EMSE.BF","82.75","100.2","116.65","119.07","119.96","119.69","121.63","..","..","..","..","..","..",".."
United States,"USA","CO2 emissions by sector (Mt CO2 eq) - Electricity/Heat","CC.CO2.EMSE.EH","2159.79","2801.39","2609.56","2234.02","2145.51","2064.52","2103.17","..","..","..","..","..","..",".."
United States,"USA","CO2 emissions by sector (Mt CO2 eq) - Energy","CC.CO2.EMSE.EN","4811.51","5734.96","5361.42","4942.88","4849.2","4773.4","4940.08","..","..","..","..","..","..",".."
United States,"USA","CO2 emissions by sector (Mt CO2 eq) - Fugitive Emissions","CC.CO2.EMSE.FE","8.42","5.09","9.3","14.26","10.73","12.1","18.96","..","..","..","..","..","..",".."
United States,"USA","CO2 emissions by sector (Mt CO2 eq) - Industrial Processes","CC.CO2.EMSE.IP","33.48","41.45","31.45","39.91","39.44","40.32","41.21","..","..","..","..","..","..",".."
United States,"USA","CO2 emissions by sector (Mt CO2 eq) - Land-Use Change and Forestry","CC.CO2.EMSE.LU","-418.58","-418.53","-401.91","-419.26","-231.8","-231.82","-231.73","..","..","..","..","..","..",".."
United States,"USA","CO2 emissions by sector (Mt CO2 eq) - Manufacturing/Construction","CC.CO2.EMSE.MC","604.51","567.17","466.39","433.89","439.02","429.41","458.79","..","..","..","..","..","..",".."
United States,"USA","CO2 emissions by sector (Mt CO2 eq) - Other Fuel Combustion","CC.CO2.EMSE.OF","66.33","44.34","51.34","48.12","46.25","45.46","46.25","..","..","..","..","..","..",".."
United States,"USA","CO2 emissions by sector (Mt CO2 eq) - Total excluding LUCF","CC.CO2.EMSE.EL","4844.99","5776.41","5392.87","4982.79","4888.64","4813.72","4981.3","..","..","..","..","..","..",".."
United States,"USA","CO2 emissions by sector (Mt CO2 eq) - Total including LUCF","CC.CO2.EMSE.IL","4426.4","5357.88","4990.96","4563.52","4656.84","4581.9","4749.57","..","..","..","..","..","..",".."
United States,"USA","CO2 emissions by sector (Mt CO2 eq) - Transportation","CC.CO2.EMSE.TR","1426.97","1717.85","1679.77","1700.05","1711.22","1724.02","1762.24","..","..","..","..","..","..",".."
United States,"USA","CO2 emissions per dollar of manufacturing value added (kgCO2 per constant 2010 US$)","CC.EG.EMIS.MAN","..","0.32","0.23","0.19","0.19","0.18","..","..","..","..","..","..","..",".."
United States,"USA","Emission Totals - Direct emissions (N2O) - AFOLU","CC.DEN.AFO","358.6416","378.839","391.5255","403.0734","416.2259","411.5624","410.5549","405.8153","..","..","..","402.0792","..","415.1124"
United States,"USA","Emission Totals - Direct emissions (N2O) - Agricultural Soils","CC.DEN.AGS","358.6416","378.839","391.5255","403.0734","416.2259","411.5624","410.5549","405.8153","..","..","..","402.0792","..","415.1124"
United States,"USA","Emission Totals - Direct emissions (N2O) - Crop Residues","CC.DEN.CRE","59.124","65.3723","74.2461","80.2594","90.5375","82.5215","82.7007","76.3038","..","..","..","87.5332","..","91.9957"
United States,"USA","Emission Totals - Direct emissions (N2O) - Emissions on agricultural land","CC.DEN.EAL","358.6416","378.839","391.5255","403.0734","416.2259","411.5624","410.5549","405.8153","..","..","..","402.0792","..","415.1124"
United States,"USA","Emission Totals - Direct emissions (N2O) - Farm-gate emissions","CC.DEN.FGE","358.6416","378.839","391.5255","403.0734","416.2259","411.5624","410.5549","405.8153","..","..","..","402.0792","..","415.1124"
